NU_ANO_CENSO;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;43159028;Controle e processos industriais;3;Eletrotécnica;3040;1;28;0;0;0;0;0;0;1;28;0;0;0;0
2025;43159028;Informação e comunicação;6;Computação Gráfica;6081;1;6;0;0;0;0;1;2;1;4;0;0;0;0
2025;43159095;Gestão e negócios;4;Comércio;4051;1;6;0;0;0;0;0;0;1;6;0;0;0;0
2025;43159095;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;55;0;0;1;55;0;0;0;0;0;0;0;0
2025;43160263;Produção industrial;11;Química;11175;1;75;0;0;0;0;1;75;0;0;0;0;0;0
2025;43160263;Segurança;13;Segurança do Trabalho;13182;1;71;0;0;0;0;1;71;0;0;0;0;0;0
2025;43160999;Gestão e negócios;4;Contabilidade;4053;1;41;0;0;0;0;0;0;1;41;0;0;0;0
2025;43160999;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;12;0;0;1;12;0;0;0;0;0;0;0;0
2025;43162479;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;208;0;0;1;208;0;0;0;0;0;0;0;0
2025;43162886;Gestão e negócios;4;Comércio Exterior;4052;1;98;0;0;0;0;0;0;1;98;0;0;0;0
2025;43163025;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;102;0;0;1;102;0;0;0;0;0;0;0;0
2025;43164200;Controle e processos industriais;3;Eletromecânica;3038;1;55;0;0;0;0;0;0;1;55;0;0;0;0
2025;43164200;Informação e comunicação;6;Informática;6073;1;11;0;0;0;0;1;4;1;7;0;0;0;0
2025;43165435;Produção alimentícia;9;Agroindústria;9121;1;14;1;5;0;0;1;3;1;6;0;0;0;0
2025;43166059;Ambiente e saúde;1;Enfermagem;1006;1;14;0;0;0;0;0;0;1;14;0;0;0;0
2025;43166059;Recursos naturais;12;Agropecuária;12174;1;92;0;0;0;0;1;92;0;0;0;0;0;0
2025;43166814;Recursos naturais;12;Agricultura;12171;1;59;1;59;0;0;0;0;0;0;0;0;0;0
2025;43167357;Recursos naturais;12;Agricultura;12171;1;119;1;111;0;0;0;0;1;8;0;0;0;0
2025;43167357;Recursos naturais;12;Zootecnia;12185;1;165;1;152;0;0;0;0;1;13;0;0;0;0
2025;43167764;Gestão e negócios;4;Contabilidade;4053;1;25;0;0;0;0;0;0;1;25;0;0;0;0
2025;43167764;Informação e comunicação;6;Informática;6073;1;8;0;0;0;0;0;0;1;8;0;0;0;0
2025;43167764;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;234;0;0;1;234;0;0;0;0;0;0;0;0
